[robert@chromium lbfgs]$ sdrive > sdrive.f2c.out
*************************************************
  N=  100   NUMBER OF CORRECTIONS= 5
       INITIAL VALUES
 F=  1.210E+03   GNORM=  1.647E+03
*************************************************

   I   NFN    FUNC        GNORM       STEPLENGTH

   1    2     2.541E+02   3.254E+02   6.073E-04
   2    3     2.078E+02   5.452E+01   1.000E+00
   3    4     2.063E+02   1.269E+01   1.000E+00
   4    5     2.062E+02   1.297E+01   1.000E+00
   5    6     2.046E+02   3.606E+01   1.000E+00
   6    7     2.010E+02   6.997E+01   1.000E+00
   7   11     1.321E+02   9.910E+01   2.308E+00
   8   13     1.316E+02   8.010E+01   1.524E-01
   9   15     1.202E+02   6.624E+01   5.000E+00
  10   16     1.059E+02   1.166E+02   1.000E+00
  11   17     8.740E+01   1.713E+01   1.000E+00
  12   18     7.278E+01   3.270E+01   1.000E+00
  13   20     6.773E+01   4.959E+01   2.137E-01
  14   21     6.009E+01   5.287E+01   1.000E+00
  15   22     4.595E+01   2.808E+01   1.000E+00
  16   23     3.737E+01   3.935E+01   1.000E+00
  17   24     2.305E+01   1.459E+01   1.000E+00
  18   26     1.985E+01   1.798E+01   1.567E-01
  19   27     1.767E+01   4.860E+01   1.000E+00
  20   28     1.395E+01   2.225E+01   1.000E+00
  21   29     9.116E+00   2.801E+01   1.000E+00
  22   30     5.822E+00   1.022E+01   1.000E+00
  23   32     4.760E+00   2.851E+01   4.362E-01
  24   33     2.358E+00   2.265E+01   1.000E+00
  25   34     1.557E+00   1.548E+01   1.000E+00
  26   36     8.105E-01   2.386E+00   4.046E-01
  27   38     5.087E-01   9.945E+00   2.475E-01
  28   39     3.634E-01   1.521E+01   1.000E+00
  29   40     1.672E-01   9.773E+00   1.000E+00
  30   41     3.724E-02   1.326E+00   1.000E+00
  31   42     9.832E-03   4.142E+00   1.000E+00
  32   43     4.711E-04   5.676E-01   1.000E+00
  33   44     3.279E-06   2.755E-02   1.000E+00
  34   45     2.340E-08   6.074E-03   1.000E+00
  35   46     2.095E-13   1.315E-05   1.000E+00

 THE MINIMIZATION TERMINATED WITHOUT DETECTING ERRORS.
 IFLAG = 0
