CMBODY             =                            3
CMBODY_RADIUS      =                     6378.137  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458262.852904       -69042400.314      -134840187.583            5733.808
      2458262.952904       -68817397.601      -134958161.616            5731.988
      2458263.052904       -68592201.296      -135075751.169            5730.331
      2458263.152904       -68366812.045      -135192955.983            5728.841
      2458263.252904       -68141230.490      -135309775.804            5727.519
      2458263.352904       -67915457.275      -135426210.375            5726.368
      2458263.452904       -67689493.041      -135542259.442            5725.390
      2458263.552904       -67463338.429      -135657922.751            5724.588
      2458263.652904       -67236994.080      -135773200.047            5723.964
      2458263.752904       -67010460.633      -135888091.079            5723.519
      2458263.852904       -66783738.726      -136002595.594            5723.256
      2458263.952904       -66556828.998      -136116713.339            5723.176
      2458264.052904       -66329732.087      -136230444.064            5723.281
      2458264.152904       -66102448.628      -136343787.517            5723.572
      2458264.252904       -65874979.257      -136456743.447            5724.050
      2458264.352904       -65647324.611      -136569311.606            5724.717
      2458264.452904       -65419485.324      -136681491.742            5725.575
      2458264.552904       -65191462.029      -136793283.608            5726.623
      2458264.652904       -64963255.362      -136904686.953            5727.863
      2458264.752904       -64734865.953      -137015701.529            5729.296
      2458264.852904       -64506294.437      -137126327.089            5730.923
      2458264.952904       -64277541.445      -137236563.384            5732.743
      2458265.052904       -64048607.608      -137346410.167            5734.758
      2458265.152904       -63819493.557      -137455867.190            5736.968
      2458265.252904       -63590199.924      -137564934.208            5739.373
      2458265.352904       -63360727.337      -137673610.972            5741.973
      2458265.452904       -63131076.426      -137781897.236            5744.769
      2458265.552904       -62901247.821      -137889792.755            5747.759
      2458265.652904       -62671242.151      -137997297.282            5750.945
      2458265.752904       -62441060.044      -138104410.572            5754.326
      2458265.852904       -62210702.129      -138211132.379            5757.901
      2458265.952904       -61980169.032      -138317462.458            5761.670
      2458266.052904       -61749461.383      -138423400.563            5765.632
      2458266.152904       -61518579.808      -138528946.450            5769.787
      2458266.252904       -61287524.934      -138634099.874            5774.133
      2458266.352904       -61056297.388      -138738860.590            5778.671
      2458266.452904       -60824897.797      -138843228.353            5783.399
      2458266.552904       -60593326.788      -138947202.920            5788.315
      2458266.652904       -60361584.986      -139050784.047            5793.419
      2458266.752904       -60129673.019      -139153971.488            5798.710
      2458266.852904       -59897591.511      -139256765.001            5804.186
      2458266.952904       -59665341.090      -139359164.341            5809.846
      2458267.052904       -59432922.381      -139461169.266            5815.687
