   July 21,2005		 Java Astrodynamics Toolkit: Harris-Priester data taken from GTDS
				 Modified to include line numbers (first line = 0) and exponential format

   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    38

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   
***************************************************************************************************************


MODEL NUMBER:   1
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=65               
LINE:  78

MODEL NUMBER:   2
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=75   
LINE:  158

MODEL NUMBER:   3
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=100              
LINE:  238

MODEL NUMBER:   4
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=125              
LINE:  318

MODEL NUMBER:   5
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=150              
LINE:  398

MODEL NUMBER:   6
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=175              
LINE:  478

MODEL NUMBER:   7
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=200              
LINE:  558

MODEL NUMBER:   8
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=225              
LINE:  638

MODEL NUMBER:   9
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=250              
LINE:  718

MODEL NUMBER:  10
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=275              
LINE:  798
***************************************************************************************************************
   MAY 15,2002           TRAMP VERSION: GNCC 2.1 05/15/2002                                        PAGE    39

                             DATA MANAGEMENT REPORT OF THE PERMANENT FILES  -- ATMOSPHERIC DENSITY   

                                        DSNAME: \\Gncc1\Tools\Navigation\GTDS\Environment\atmosden.pc                                   



MODEL NUMBER:   1
NUMBER OF ENTRIES IN DENSITY ARRAY: 59
MODEL NAME: 1964 HARRIS/PRIESTER ATMOSPHERE (MIN-MAX) 0-2000 KM  F=65               

ATMOSPHERIC DENSITY MODEL

         ALTITUDE           MINIMUM DENSITY       MAXIMUM DENSITY
          (IN KM)           (IN KG/KM**3)          (IN KG/KM**3)

       1.1000000E+02         7.8000000E+01         7.8000000E+01
       1.2000000E+02         2.4900000E+01         2.4900000E+01
       1.3000000E+02         8.9780000E+00         9.3310000E+00
       1.4000000E+02         4.0690000E+00         4.2120000E+00
       1.5000000E+02         2.0860000E+00         2.1680000E+00
       1.6000000E+02         1.1460000E+00         1.2360000E+00
       1.7000000E+02         6.6160000E-01         7.5580000E-01
       1.8000000E+02         4.0160000E-01         4.8850000E-01
       1.9000000E+02         2.5300000E-01         3.2740000E-01
       2.0000000E+02         1.6280000E-01         2.2840000E-01
       2.1000000E+02         1.0760000E-01         1.6340000E-01
       2.2000000E+02         7.2870000E-02         1.1920000E-01
       2.3000000E+02         5.0380000E-02         8.8510000E-02
       2.4000000E+02         3.5490000E-02         6.6660000E-02
       2.5000000E+02         2.5410000E-02         5.0830000E-02
       2.6000000E+02         1.8460000E-02         3.9190000E-02
       2.7000000E+02         1.3580000E-02         3.0500000E-02
       2.8000000E+02         1.0100000E-02         2.3940000E-02
       2.9000000E+02         7.5880000E-03         1.8940000E-02
       3.0000000E+02         5.7190000E-03         1.5100000E-02
       3.2000000E+02         3.3050000E-03         9.8860000E-03
       3.4000000E+02         1.9530000E-03         6.6080000E-03
       3.6000000E+02         1.1750000E-03         4.4940000E-03
       3.8000000E+02         7.1670000E-04         3.1000000E-03
       4.0000000E+02         4.4280000E-04         2.1630000E-03
       4.2000000E+02         2.7790000E-04         1.5260000E-03
       4.4000000E+02         1.7600000E-04         1.0850000E-03
       4.6000000E+02         1.1280000E-04         7.7670000E-04
       4.8000000E+02         7.3460000E-05         5.5990000E-04
       5.0000000E+02         4.8660000E-05         4.0610000E-04
       5.2000000E+02         3.2910000E-05         2.9630000E-04
       5.4000000E+02         2.2790000E-05         2.1740000E-04
       5.6000000E+02         1.6220000E-05         1.6050000E-04
       5.8000000E+02         1.1880000E-05         1.1920000E-04
       6.0000000E+02         8.9780000E-06         8.9100000E-05
       6.2000000E+02         6.9870000E-06         6.7080000E-05
       6.4000000E+02         5.5930000E-06         5.0900000E-05
       6.6000000E+02         4.5890000E-06         3.8960000E-05
       6.8000000E+02         3.8460000E-06         3.0110000E-05
       7.0000000E+02         3.2810000E-06         2.3510000E-05
       7.2000000E+02         2.8380000E-06         1.8570000E-05
       7.4000000E+02         2.4820000E-06         1.4840000E-05
       7.6000000E+02         2.1900000E-06         1.2020000E-05
       7.8000000E+02         1.9440000E-06         9.8570000E-06
       8.0000000E+02         1.7360000E-06         8.1930000E-06
       8.5000000E+02         1.1800000E-06         6.2000000E-06
       9.0000000E+02         8.7000000E-07         4.4000000E-06
       9.5000000E+02         6.6000000E-07         3.3000000E-06
       1.0000000E+03         4.8000000E-07         2.7000000E-06
       1.1000000E+03         3.0000000E-07         1.7500000E-06
       1.2000000E+03         1.8500000E-07         1.2000000E-06
       1.3000000E+03         1.1300000E-07         8.5000000E-07
       1.4000000E+03         7.3000000E-08         6.2000000E-07
       1.5000000E+03         5.2000000E-08         4.7500000E-07
